Total DV: 13944.823
 Stage              Epoch               X(m)               Y(m)               Z(m)      VX(m/s)      VY(m/s)      VZ(m/s)    DV(m/s)   TOTAL_DV    ID
    23       284119741.12     360796789358.1    -140590601542.9       3870306334.1     6430.245    17930.194      260.593     453.78   12044.42 15279
    24       288601292.81     381615721461.3     -57443072218.5       4824708891.4     2704.781    18994.388      189.620     123.62   12168.04 48565
    25       291266739.71     385733540574.2      -6642791893.4       5175759958.1      359.686    19131.545      116.106      76.81   12244.85 67447
    26       302339953.62     339520178306.6     195665134179.8       6660474574.5    -8698.080    16652.060       55.656     283.57   12528.42 16854
    27       317354516.98     139254593130.5     380911340890.3       7518223341.5   -16700.549     7219.769      -59.463     143.99   12672.41 60884
    28       339825468.44    -238826891418.8     345457288227.1       3281453664.8   -14430.227    -9615.354     -295.519     261.70   12934.11 49426
    29       359373515.84    -417946708515.7      74712006424.0       7565411034.9    -2762.817   -16852.626      109.690     724.87   13658.98 39986
    30       362880603.36    -424110808058.7      15339823390.2       8491092483.0     -472.075   -17036.230      239.023     338.85   13997.83 82954
    31       382556378.51    -295682087267.8    -289870993463.8      12265558111.2    12923.241   -11979.659      -15.682     187.25   14185.08 79841
    32       406529550.21     109387102167.8    -360926981269.8      12118247147.0    17631.112     7095.178     -368.869     562.60   14747.68 52163
    33       409099993.37     153679176077.3    -339511535261.9      10715429487.4    16778.607     9460.296     -582.163     170.35   14918.03 75761
    34       422785408.25     326314398789.4    -138201598559.1        435425129.8     7107.183    18902.425     -829.756      32.33   14950.36 81831
    35       451493027.25     127043563688.3     344981806200.2     -14930209125.1   -17644.942     8081.572      -46.587     114.14   15064.50 82932
    36       457582511.73      18692346085.9     374853609713.9     -14374928899.3   -18226.638     2045.840      205.352     672.01   15736.51 57468
    37       461449765.29     -49298499951.4     375721476746.5     -12209526224.0   -17454.941    -1563.551      621.537     753.94   16490.45 76334
    38       479864700.47    -309483129416.3     205702171790.9        665943497.3    -8709.429   -15667.158      789.233     128.04   16618.48 81606
    39       509976252.58    -125369160829.2    -282526483819.2      15462711379.0    20381.813    -7252.960     -305.234     146.49   16764.97 59025
Total DV: 18381.558
 Stage              Epoch               X(m)               Y(m)               Z(m)      VX(m/s)      VY(m/s)      VZ(m/s)    DV(m/s)   TOTAL_DV    ID
     0          920194.99     -76967119717.0     125413682309.1         -5513590.2   -25880.799   -15705.911        1.139       0.00       0.00    -2
     1        31880062.70     219322359485.4    -166002555033.4      -3972871711.7     9535.429    15798.689     -652.429       0.00       0.00 80704
     2        45408148.66     247318339720.6     130864132350.9     -10255141699.4    -9253.922    20687.439      -80.827    4771.09    4771.09 69771
     3        52823867.40     143287243811.4     254986305706.2      -8285356066.4   -17818.398    12247.690      455.279     212.34    4983.43 66333
     4        66263584.36    -123803981147.4     294657377968.1      -1293897684.7   -18970.485    -6033.165      641.853     196.40    5179.83 72692
     5        72728705.20    -238966131694.2     234468443459.4      -5197546678.3   -15392.856   -12404.709     -556.986    1575.58    6755.41 60233
     6        77102271.11    -297937520626.7     173336054890.5      -7609264691.6   -11447.228   -15399.411     -501.671     268.00    7023.41 37538
     7        97240756.13    -326212392376.5    -173730367192.4     -11282825341.5     8226.820   -15713.417      121.393      64.49    7087.90 82808
     8       107741073.91    -194250629888.1    -307704314319.9     -12213977092.2    16017.233    -8951.086       83.663     526.15    7614.05 83151
     9       114601989.29     -73810938424.4    -347936916503.2     -11331189964.4    18687.006    -2529.730      244.486      92.96    7707.01 50732
    10       126234770.98     146256041933.4    -309552322433.9     -12519682062.3    17513.992     9475.546      130.189     713.01    8420.02 80697
    11       145428153.37     331261938674.2      14789304198.5      -2886639490.2     -747.587    20657.240      742.621     158.31    8578.33 83390
    12       153194856.04     290959022784.8     170112947525.1       3197366265.6    -9454.057    18353.750      767.440     301.31    8879.64 79538
    13       172397708.13     -16961230058.0     368735671444.2      10541444055.4   -18987.615     1117.949      137.537     243.57    9123.21 67346
    14       186426539.08    -257604119921.5     298308126444.1       9069680566.8   -14241.526   -10438.647     -265.726     145.55    9268.77 71439
    15       188730052.88    -288881292979.2     272427110077.7       8947411314.4   -12893.258   -11926.801      -75.187     247.93    9516.69 70700
    16       212403273.80    -376012387051.5    -123304743111.8      14287223645.6     5936.090   -17094.686     -120.319    1259.30   10775.99 77568
    17       214527506.87    -361959001659.6    -159209246508.9      14215778646.2     7450.010   -16567.301      -66.034     233.62   11009.61 47895
    18       226636538.74    -223789918454.3    -326959894566.9      13128025103.7    14994.405   -10268.777     -268.716     317.50   11327.11 78857
    19       242921017.52      55729547603.3    -385834694996.5       3287809582.7    17883.782     3243.242     -727.954     355.55   11682.66 53312
    20       252969692.87     223136739613.4    -308572337374.6     -10081146083.5    14645.368    11706.990    -1262.595     663.19   12345.85 64425
    21       267306093.32     361162454680.7     -79502840983.5     -23733055402.2     3618.270    18958.136     -586.625      37.08   12382.93 36584
    22       273099946.92     365799098098.2      32223904118.4     -26151889679.3    -2011.532    19322.366     -221.830      41.21   12424.14 81820
    23       277734033.33     345383670961.8     120265297583.0     -26257818520.5    -6605.935    18430.616      140.977     174.88   12599.02 80002
    24       298551026.01      53052724229.8     374448158951.9      -7237070467.6   -18676.145     3767.855     1327.417     217.57   12816.59 33478
    25       301921113.32      -8542027440.6     382689470720.0      -3340360031.7   -18325.945      909.366     1175.057     610.05   13426.63 82228
    26       310140554.47    -154751419366.8     358071870816.8       5101409687.0   -16790.865    -6465.072     1005.770     327.93   13754.57 45709
    27       319154356.53    -291387606034.8     277315648092.1       6452649354.0   -12811.300   -11880.509       92.468    1170.66   14925.23 39961
    28       331780094.63    -400324327455.2      94106398018.1       7980112996.6    -4072.724   -16472.042       27.425     186.65   15111.87 68728
    29       347889090.99    -361188952813.6    -168184129229.9      10260839074.4     8718.758   -14922.129      -18.121     414.69   15526.57 83202
    30       359059527.21    -219090186358.3    -304104654145.2       8482665373.6    16296.532    -8667.668     -281.274      58.53   15585.10 82043
    31       367763686.72     -56297190392.3    -348714895780.8       4558520095.6    20079.106     -919.213     -524.303     542.73   16127.83 54389
    32       383505936.79     237551674467.2    -228633129741.0      -1424273457.8    14478.125    15674.545     -397.007     220.05   16347.87 66540
    33       405359731.02     295288856046.8     197138415565.8      -6851554872.1    -9060.981    17779.674      -41.301       8.77   16356.64 80212
    34       408951822.27     256344802513.7     256551072442.4      -5526555445.7   -12221.364    15328.911      399.450     495.31   16851.95 63508
    35       433358835.28    -144450913192.4     389461788601.9       1296728010.6   -16557.716    -4386.632      315.501     234.84   17086.79 47043
    36       442411403.63    -279817389540.8     323418024729.8       4121309208.7   -13089.663   -10051.848      286.818     121.14   17207.93 53788
    37       456428887.51    -410968151587.1     143236902150.5      10347150179.1    -5086.563   -15234.595      348.200     408.72   17616.66 77036
    38       460941304.11    -427175445262.7      72765228641.3      11705910503.3    -2045.629   -15970.005      259.865      60.11   17676.77 36381
    39       475277961.18    -382852777800.8    -151082795149.5      10110944336.9     8314.754   -14592.046     -251.021     379.57   18056.34 78603
    40       501118850.79      37350943586.0    -330283654369.9        683205899.7    20467.528     5102.631     -526.144     305.46   18361.80 69071
    41       512006081.18     234559626392.9    -205545756012.9      -4669682787.1    14096.518    17296.726     -422.811      19.76   18381.56 79967
Total DV: 16659.698
 Stage              Epoch               X(m)               Y(m)               Z(m)      VX(m/s)      VY(m/s)      VZ(m/s)    DV(m/s)   TOTAL_DV    ID
     0        18943112.33     124562576112.2     -86154251267.8          2883107.1    16457.785    24379.207       -1.468       0.00       0.00    -2
     1        53364428.62    -300616009878.1     260735282821.6      -3619918264.7   -10526.312    -8790.030     1099.155     858.78     858.78 80068
     2        60071411.35    -366946946217.8     169154014894.4      -5775667586.8    -7518.827   -15030.598     -286.675    3913.69    4772.47 80174
     3        66186971.69    -399706072711.7      73038953992.1      -4729477414.5    -2984.475   -16358.619      202.069     478.43    5250.90 80924
     4        69595595.93    -406106620270.0      15672296271.5      -4343006249.6     -514.844   -16947.292      128.468     395.86    5646.76 58840
     5        84308507.26    -329818137052.3    -225421552492.9       1254496480.6    10696.597   -14142.555      390.063     509.77    6156.53 61680
     6        99852868.95     -90270279917.3    -370876152102.5       2165235365.6    18559.535    -3371.802       24.024     469.16    6625.69 81520
     7       113748308.81     169832207230.1    -330981966013.6       2387695853.3    17203.526     9176.874      -26.351     197.09    6822.79 68245
     8       123437541.74     313453608924.9    -213269419388.5       7420619189.9    11566.125    15264.202      449.156     974.66    7797.45 69090
     9       132800827.06     385181201547.8     -53191031892.6       8372338452.3     3677.988    18284.299       12.800     274.94    8072.39 61715
    10       143401459.11     377201452478.9     139286807517.1       8176461973.0    -5088.298    17318.225     -112.547     106.91    8179.30 49352
    11       159430267.91     208920409475.3     363119865568.4       5400422481.5   -14686.656     9484.052     -272.916     217.86    8397.16 81874
    12       176438644.27     -75220939665.0     421593380001.3       6248685985.6   -17043.522    -2695.646      -41.132     539.08    8936.24 22434
    13       180615335.11    -144952549332.0     403488925610.5       5286429144.5   -16266.209    -5779.285     -250.169     240.29    9176.53 53149
    14       196273530.28    -353036174988.4     237907831593.5      -2183437060.3    -9383.262   -14627.363     -481.622     193.94    9370.47 74239
    15       211821312.08    -417001026416.7     -22625614786.6     -10284612213.2     1572.246   -17685.657     -412.205     114.18    9484.65 63716
    16       219805199.73    -382181159771.3    -160107982292.6     -13256472352.0     7295.619   -16368.444     -280.833     217.08    9701.72 83419
    17       237529140.44    -163444162089.8    -375787037121.6     -11735572076.8    16547.254    -6802.051      302.855     417.80   10119.52 75690
    18       241495147.77     -94300729702.2    -396854863159.2     -11535077575.5    17887.528    -3805.123       95.401     457.07   10576.59 55655
    19       258490760.98     206603995526.1    -349235394950.0      -5732864452.6    15853.410     9272.624      477.771     128.79   10705.38 48562
